dimension,sigma,cutoff,center_extent,lambda_min_without_pole,lambda_min_with_pole,lambda_max_with_pole,retained_rank,runtime_seconds
8,0.5,100000,6.0,-460.78495660420674,-648.0046936351359,648.0046935635414,8,0.08404380100000708
8,0.5,1000000,6.0,-895.4881791604271,-10.254007361958937,10.254007338138338,8,0.2916114070000049
8,0.5,10000000,6.0,-903.7909145961487,-1.7161056060121362e-05,1.7161056021249858e-05,8,2.6827354069999956
16,0.5,100000,6.0,-490.68820485261205,-678.6164850923537,678.6046225991454,16,0.23227216600002976
16,0.5,1000000,6.0,-903.030324894057,-15.35346990032236,15.351551420997728,16,0.5725757889999841
16,0.5,10000000,6.0,-911.5535646797945,-2.6450464458553004e-05,2.644689003455402e-05,16,3.623138379000011
