discriminant,sigma,dimension,prime_cutoff,zeros_used,first_zero,max_entry_error,max_zero_side_entry,lambda_min
1,0.15,7,2000,6,14.134725141734693,4.1987253788806217e-16,0.0031696421053955142,3.139737559072967e-09
5,0.15,7,2000,14,6.648453344727715,1.8596235662471372e-15,0.14923444502082295,0.007578529110818966
-3,0.15,7,2000,12,8.039737155681467,2.177077962350893e-16,0.08371540703492196,0.0023638937678146367
8,0.15,7,2000,17,4.899973997007036,7.355227538141662e-16,0.2729414668375115,0.00831413516610206
13,0.15,7,2000,20,3.1193414790086034,1.4432899320127035e-15,0.4032734247583777,0.163195447182591
