sigma,extent,dimension,prime_cutoff,truncation_bound,gram_condition,retained_rank,lambda_min,lambda_max,zeros_used,zero_side_max_error,zero_side_lambda_min
0.5,1.5,5,5376,1.2062621189982669e-11,16.150782742666266,5,-2.924794083096739e-13,3.306133997542928e-13,0,nan,nan
0.35,1.5,7,672,2.0052138633308816e-09,32.00422616872974,7,-3.936915381562809e-11,1.5798817934225498e-10,1,1.3717265333296308e-11,-8.504444605247905e-25
0.25,1.5,9,336,9.570717325828114e-13,27.652742634741927,9,-9.226283269474906e-15,2.301120890404662e-05,2,7.405932568181917e-15,-1.3740349280950747e-20
0.18,1.5,13,168,3.977505972222664e-14,63.5750153066402,13,-1.7250772800224218e-14,0.21821723717766023,4,4.544704456516113e-16,-5.3646739518546463e-17
0.12,1.5,19,84,8.666449699121537e-15,72.8533746075115,19,2.3390936280239785e-16,3.131103131102713,9,1.858430943857403e-15,3.938148656135551e-15
